Calendar Year,Measure,Age Filter,Users,Users Annotation code,Users Annotation Description,Denominator (3 Months Continuous Eligibility),Denominator Annotation code,Denominator Annotation Description,Utilization %,Utilization Annotation code,Utilization Annotation Description
CY 2013,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age <1,"3,922",,,"251,033",,,1.56%,,
CY 2013,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 10-14,"602,513",,,"1,186,943",,,50.76%,,
CY 2013,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 1-2,"127,182",,,"577,485",,,22.02%,,
CY 2013,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 15-18,"370,954",,,"877,824",,,42.26%,,
CY 2013,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 19-20,"88,764",,,"307,943",,,28.82%,,
CY 2013,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 21-34,"111,494",,,"944,886",,,11.80%,,
CY 2013,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 3-5,"463,983",,,"865,127",,,53.63%,,
CY 2013,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 35-44,"53,123",,,"529,102",,,10.04%,,
CY 2013,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 45-64,"105,407",,,"915,855",,,11.51%,,
CY 2013,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 65-74,"41,820",,,"486,289",,,8.60%,,
CY 2013,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 6-9,"642,804",,,"1,108,841",,,57.97%,,
CY 2013,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 75+,"42,122",,,"480,125",,,8.77%,,
CY 2013,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age <1,42,,,"251,033",,,0.02%,,
CY 2013,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 10-14,"512,244",,,"1,186,943",,,43.16%,,
CY 2013,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 1-2,"1,765",,,"577,485",,,0.31%,,
CY 2013,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 15-18,"309,239",,,"877,824",,,35.23%,,
CY 2013,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 19-20,"72,255",,,"307,943",,,23.46%,,
CY 2013,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 21-34,"28,846",,,"944,886",,,3.05%,,
CY 2013,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 3-5,"386,015",,,"865,127",,,44.62%,,
CY 2013,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 35-44,"5,584",,,"529,102",,,1.06%,,
CY 2013,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 45-64,"12,288",,,"915,855",,,1.34%,,
CY 2013,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 65-74,"5,114",,,"486,289",,,1.05%,,
CY 2013,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 6-9,"545,366",,,"1,108,841",,,49.18%,,
CY 2013,"Exams/Oral Health Evaluations (D0120, D0145, or D0150)",Age 75+,"9,004",,,"480,125",,,1.88%,,
CY 2013,Use of Dental Treatment Services (D2000 - D9999),Age <1,141,,,"251,033",,,0.06%,,
CY 2013,Use of Dental Treatment Services (D2000 - D9999),Age 10-14,"284,755",,,"1,186,943",,,23.99%,,
CY 2013,Use of Dental Treatment Services (D2000 - D9999),Age 1-2,"18,700",,,"577,485",,,3.24%,,
CY 2013,Use of Dental Treatment Services (D2000 - D9999),Age 15-18,"185,364",,,"877,824",,,21.12%,,
CY 2013,Use of Dental Treatment Services (D2000 - D9999),Age 19-20,"47,478",,,"307,943",,,15.42%,,
CY 2013,Use of Dental Treatment Services (D2000 - D9999),Age 21-34,"72,910",,,"944,886",,,7.72%,,
CY 2013,Use of Dental Treatment Services (D2000 - D9999),Age 3-5,"190,635",,,"865,127",,,22.04%,,
CY 2013,Use of Dental Treatment Services (D2000 - D9999),Age 35-44,"37,707",,,"529,102",,,7.13%,,
CY 2013,Use of Dental Treatment Services (D2000 - D9999),Age 45-64,"76,526",,,"915,855",,,8.36%,,
CY 2013,Use of Dental Treatment Services (D2000 - D9999),Age 65-74,"32,420",,,"486,289",,,6.67%,,
CY 2013,Use of Dental Treatment Services (D2000 - D9999),Age 6-9,"340,991",,,"1,108,841",,,30.75%,,
CY 2013,Use of Dental Treatment Services (D2000 - D9999),Age 75+,"36,491",,,"480,125",,,7.60%,,
CY 2013,Use of Preventive Services (D1000 - D1999),Age <1,756,,,"251,033",,,0.30%,,
CY 2013,Use of Preventive Services (D1000 - D1999),Age 10-14,"507,392",,,"1,186,943",,,42.75%,,
CY 2013,Use of Preventive Services (D1000 - D1999),Age 1-2,"81,914",,,"577,485",,,14.18%,,
CY 2013,Use of Preventive Services (D1000 - D1999),Age 15-18,"297,889",,,"877,824",,,33.93%,,
CY 2013,Use of Preventive Services (D1000 - D1999),Age 19-20,"65,940",,,"307,943",,,21.41%,,
CY 2013,Use of Preventive Services (D1000 - D1999),Age 21-34,"25,635",,,"944,886",,,2.71%,,
CY 2013,Use of Preventive Services (D1000 - D1999),Age 3-5,"373,574",,,"865,127",,,43.18%,,
CY 2013,Use of Preventive Services (D1000 - D1999),Age 35-44,"4,516",,,"529,102",,,0.85%,,
CY 2013,Use of Preventive Services (D1000 - D1999),Age 45-64,"8,791",,,"915,855",,,0.96%,,
CY 2013,Use of Preventive Services (D1000 - D1999),Age 65-74,"2,481",,,"486,289",,,0.51%,,
CY 2013,Use of Preventive Services (D1000 - D1999),Age 6-9,"542,138",,,"1,108,841",,,48.89%,,
CY 2013,Use of Preventive Services (D1000 - D1999),Age 75+,"3,944",,,"480,125",,,0.82%,,
CY 2013,Use of Restorative Services (D2000 - D2999),Age <1,,1,Cell suppressed for small numbers,"251,033",,,,1,Cell suppressed for small numbers
CY 2013,Use of Restorative Services (D2000 - D2999),Age 10-14,"213,233",,,"1,186,943",,,17.96%,,
CY 2013,Use of Restorative Services (D2000 - D2999),Age 1-2,"14,815",,,"577,485",,,2.57%,,
CY 2013,Use of Restorative Services (D2000 - D2999),Age 15-18,"147,791",,,"877,824",,,16.84%,,
CY 2013,Use of Restorative Services (D2000 - D2999),Age 19-20,"35,071",,,"307,943",,,11.39%,,
CY 2013,Use of Restorative Services (D2000 - D2999),Age 21-34,"13,509",,,"944,886",,,1.43%,,
CY 2013,Use of Restorative Services (D2000 - D2999),Age 3-5,"172,480",,,"865,127",,,19.94%,,
CY 2013,Use of Restorative Services (D2000 - D2999),Age 35-44,"2,282",,,"529,102",,,0.43%,,
CY 2013,Use of Restorative Services (D2000 - D2999),Age 45-64,"4,243",,,"915,855",,,0.46%,,
CY 2013,Use of Restorative Services (D2000 - D2999),Age 65-74,"1,458",,,"486,289",,,0.30%,,
CY 2013,Use of Restorative Services (D2000 - D2999),Age 6-9,"273,950",,,"1,108,841",,,24.71%,,
CY 2013,Use of Restorative Services (D2000 - D2999),Age 75+,,2,Cell suppressed for complementary cell,"480,125",,,,2,Cell suppressed for complementary cell
CY 2013,Use of Sealant (D1351),Age <1,,3,No data available,"251,033",,,,3,No data available
CY 2013,Use of Sealant (D1351),Age 10-14,"110,979",,,"1,186,943",,,9.35%,,
CY 2013,Use of Sealant (D1351),Age 1-2,,3,No data available,"577,485",,,,3,No data available
CY 2013,Use of Sealant (D1351),Age 15-18,,3,No data available,"877,824",,,,3,No data available
CY 2013,Use of Sealant (D1351),Age 19-20,,3,No data available,"307,943",,,,3,No data available
CY 2013,Use of Sealant (D1351),Age 21-34,,3,No data available,"944,886",,,,3,No data available
CY 2013,Use of Sealant (D1351),Age 3-5,,3,No data available,"865,127",,,,3,No data available
CY 2013,Use of Sealant (D1351),Age 35-44,,3,No data available,"529,102",,,,3,No data available
CY 2013,Use of Sealant (D1351),Age 45-64,,3,No data available,"915,855",,,,3,No data available
CY 2013,Use of Sealant (D1351),Age 65-74,,3,No data available,"486,289",,,,3,No data available
CY 2013,Use of Sealant (D1351),Age 6-9,"192,120",,,"1,108,841",,,17.33%,,
CY 2013,Use of Sealant (D1351),Age 75+,,3,No data available,"480,125",,,,3,No data available
CY 2013,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age <1,714,,,"251,033",,,0.28%,,
CY 2013,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 10-14,"487,080",,,"1,186,943",,,41.04%,,
CY 2013,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 1-2,"77,903",,,"577,485",,,13.49%,,
CY 2013,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 15-18,"277,461",,,"877,824",,,31.61%,,
CY 2013,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 19-20,"59,459",,,"307,943",,,19.31%,,
CY 2013,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 21-34,"20,470",,,"944,886",,,2.17%,,
CY 2013,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 3-5,"364,750",,,"865,127",,,42.16%,,
CY 2013,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 35-44,"3,514",,,"529,102",,,0.66%,,
CY 2013,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 45-64,"7,830",,,"915,855",,,0.85%,,
CY 2013,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 65-74,"2,975",,,"486,289",,,0.61%,,
